Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,23.049999,23.049999,23.049999,23.049999,18.789091,0
2013-12-10,22.940001,22.940001,22.940001,22.940001,18.699432,0
2013-12-11,22.590000,22.590000,22.590000,22.590000,18.414131,0
2013-12-12,22.620001,22.620001,22.620001,22.620001,18.438578,0
2013-12-13,22.690001,22.690001,22.690001,22.690001,18.495640,0
2013-12-16,22.900000,22.900000,22.900000,22.900000,18.666822,0
2013-12-17,22.879999,22.879999,22.879999,22.879999,18.650518,0
2013-12-18,23.160000,23.160000,23.160000,23.160000,18.878763,0
2013-12-19,23.020000,23.020000,23.020000,23.020000,18.764645,0
2013-12-20,23.309999,23.309999,23.309999,23.309999,19.001032,0
2013-12-23,23.100000,23.100000,23.100000,23.100000,19.155273,0
2013-12-24,23.209999,23.209999,23.209999,23.209999,19.246487,0
2013-12-26,23.230000,23.230000,23.230000,23.230000,19.263065,0
2013-12-27,23.240000,23.240000,23.240000,23.240000,19.271360,0
2013-12-30,23.260000,23.260000,23.260000,23.260000,19.287947,0
2013-12-31,23.330000,23.330000,23.330000,23.330000,19.345993,0
2014-01-02,23.090000,23.090000,23.090000,23.090000,19.146976,0
2014-01-03,23.160000,23.160000,23.160000,23.160000,19.205019,0
2014-01-06,23.010000,23.010000,23.010000,23.010000,19.080641,0
2014-01-07,23.180000,23.180000,23.180000,23.180000,19.221607,0
2014-01-08,23.190001,23.190001,23.190001,23.190001,19.229902,0
2014-01-09,23.219999,23.219999,23.219999,23.219999,19.254772,0
2014-01-10,23.360001,23.360001,23.360001,23.360001,19.370871,0
2014-01-13,23.100000,23.100000,23.100000,23.100000,19.155273,0
2014-01-14,23.340000,23.340000,23.340000,23.340000,19.354286,0
2014-01-15,23.459999,23.459999,23.459999,23.459999,19.453791,0
2014-01-16,23.440001,23.440001,23.440001,23.440001,19.437208,0
2014-01-17,23.370001,23.370001,23.370001,23.370001,19.379162,0
2014-01-21,23.469999,23.469999,23.469999,23.469999,19.462078,0
2014-01-22,23.559999,23.559999,23.559999,23.559999,19.536713,0
2014-01-23,23.370001,23.370001,23.370001,23.370001,19.379162,0
2014-01-24,22.790001,22.790001,22.790001,22.790001,18.898209,0
2014-01-27,22.580000,22.580000,22.580000,22.580000,18.724070,0
2014-01-28,22.760000,22.760000,22.760000,22.760000,18.873333,0
2014-01-29,22.510000,22.510000,22.510000,22.510000,18.666021,0
2014-01-30,22.820000,22.820000,22.820000,22.820000,18.923080,0
2014-01-31,22.670000,22.670000,22.670000,22.670000,18.798698,0
2014-02-03,21.959999,21.959999,21.959999,21.959999,18.209948,0
2014-02-04,22.139999,22.139999,22.139999,22.139999,18.359205,0
2014-02-05,22.070000,22.070000,22.070000,22.070000,18.301165,0
2014-02-06,22.330000,22.330000,22.330000,22.330000,18.516760,0
2014-02-07,22.540001,22.540001,22.540001,22.540001,18.690899,0
2014-02-10,22.559999,22.559999,22.559999,22.559999,18.707485,0
2014-02-11,22.770000,22.770000,22.770000,22.770000,18.881622,0
2014-02-12,22.860001,22.860001,22.860001,22.860001,18.956253,0
2014-02-13,23.100000,23.100000,23.100000,23.100000,19.155273,0
2014-02-14,23.190001,23.190001,23.190001,23.190001,19.229902,0
2014-02-18,23.320000,23.320000,23.320000,23.320000,19.337696,0
2014-02-19,23.110001,23.110001,23.110001,23.110001,19.163561,0
2014-02-20,23.309999,23.309999,23.309999,23.309999,19.329409,0
2014-02-21,23.360001,23.360001,23.360001,23.360001,19.370871,0
2014-02-24,23.500000,23.500000,23.500000,23.500000,19.486963,0
2014-02-25,23.510000,23.510000,23.510000,23.510000,19.495253,0
2014-02-26,23.629999,23.629999,23.629999,23.629999,19.594765,0
2014-02-27,23.750000,23.750000,23.750000,23.750000,19.694271,0
2014-02-28,23.809999,23.809999,23.809999,23.809999,19.744019,0
2014-03-03,23.660000,23.660000,23.660000,23.660000,19.619642,0
2014-03-04,24.120001,24.120001,24.120001,24.120001,20.001087,0
2014-03-05,24.090000,24.090000,24.090000,24.090000,19.976212,0
2014-03-06,24.129999,24.129999,24.129999,24.129999,20.009382,0
2014-03-07,24.150000,24.150000,24.150000,24.150000,20.025957,0
2014-03-10,24.090000,24.090000,24.090000,24.090000,19.976212,0
2014-03-11,23.889999,23.889999,23.889999,23.889999,19.810362,0
2014-03-12,23.940001,23.940001,23.940001,23.940001,19.851826,0
2014-03-13,23.680000,23.680000,23.680000,23.680000,19.636221,0
2014-03-14,23.770000,23.770000,23.770000,23.770000,19.710857,0
